Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
1100000000,-1.935906927,19.45844121,-59.37445305,-157.280238,-62.82638625,-77.09555489,-12.23121762,32.90274688,
1100120000,-1.971942538,19.43365727,-63.24435856,55.39408249,-58.66565906,-67.46362025,-12.25975906,32.85422686,
1100240000,-1.941225555,19.5537748,-58.6954057,-0.362744464,-72.14384809,-148.14694,-12.22656803,32.61146294,
1100360000,-1.947867804,19.44499381,-61.77165285,-91.02328156,-55.29445169,-160.2624529,-12.26654973,32.38514992,
1100480000,-1.953331702,19.54489013,-62.00079517,132.9868124,-61.72389195,-80.82702325,-12.25602737,32.27824472,
1100600000,-1.93999605,19.47425676,-62.14092683,160.8168309,-64.18102407,-119.9961978,-12.23402249,31.76410346,
1100720000,-1.94850933,19.49473016,-57.99428409,156.1508883,-60.41044812,-63.78613553,-12.2308321,31.97875855,
1100840000,-1.938501256,19.38642671,-65.02524496,121.3898723,-55.57158939,-176.5782242,-12.26798987,31.64265146,
1100960000,-1.941587917,19.38158493,-55.84152009,51.39755574,-76.75443516,156.4904751,-12.20412385,31.36136951,
1101080000,-1.937761104,19.37113442,-58.99312579,-169.0687682,-58.41810282,-0.8433008404,-12.18396699,31.23549019,
1101200000,-1.953153599,19.27426124,-62.9160061,21.50375493,-52.38428143,75.51496852,-12.19696238,30.85888251,
1101320000,-1.95942602,19.39820218,-61.73329034,-62.19394591,-59.39704938,-92.9690582,-12.24709454,30.67792452,
1101440000,-1.956095024,19.24894078,-54.4728158,-85.38291839,-63.54280427,147.1293189,-12.22224943,30.73550419,
1101560000,-1.955722155,19.35884486,-65.62832363,-32.25807227,-54.88674251,48.0205584,-12.23750599,30.26649412,
1101680000,-1.947159696,19.35613987,-64.04388085,-29.63486764,-64.56822418,-141.108528,-12.17589804,30.006081,
1101800000,-1.920840411,19.2955737,-61.70134595,-115.2535221,-62.62993587,34.2267035,-12.212999,30.06849629,
1101920000,-1.937369619,19.293415,-60.66077898,137.6252118,-66.0895443,1.715680906,-12.17905093,29.74801315,
1102040000,-1.926926591,19.20302635,-70.49680321,-33.73364071,-57.00324647,-162.1691072,-12.18026504,29.25941537,
1102160000,-1.931575357,19.15479067,-58.45006129,-166.5343881,-57.50069428,4.921210063,-12.16104193,29.28443859,
1102280000,-1.936929468,19.09513688,-60.8461188,-173.57675,-64.1566514,-28.37592512,-12.19144833,28.98708984,
1102400000,-1.952499896,19.17915718,-64.4087101,15.42222122,-60.27635375,141.8970036,-12.16563088,29.16137257,
1102520000,-1.945931213,19.03245548,-56.51707789,47.46496014,-56.64017259,-121.2997929,-12.16155583,28.58287356,
1102640000,-1.949061118,19.14128135,-59.92098252,-162.1845707,-60.07780374,31.25423746,-12.15665989,28.30085904,
1102760000,-1.942987802,19.14157199,-60.04570973,-79.95590392,-62.12879148,-174.6195623,-12.19675588,28.07562911,
1102880000,-1.930026713,19.00446753,-62.44672949,123.0602552,-63.52745756,-130.147966,-12.16176022,27.92338842,
1103000000,-1.934832394,19.12442627,-58.02025238,-108.3068752,-63.51035254,20.85015392,-12.1475719,27.54523913,
1103120000,-1.959869497,18.91232742,-57.91914857,89.67865532,-61.70238113,-56.11769688,-12.1974877,27.56683473,
1103240000,-1.970720043,18.92231054,-62.48802638,-7.922401209,-61.56067766,53.54640065,-12.16954552,27.47357516,
1103360000,-1.949270054,19.0407289,-58.75400534,-104.2791786,-61.22561162,-100.1154104,-12.16525371,27.16662278,
1103480000,-1.948598716,18.90269472,-58.37552428,-178.981285,-65.75611519,80.16461419,-12.13771283,27.05060812,
1103600000,-1.965093703,18.82785878,-66.16775897,64.3864911,-68.65194865,117.8834467,-12.13901493,26.62755753,
1103720000,-1.956375104,18.83388655,-74.41314684,67.23231223,-59.33076637,165.8114084,-12.17550662,26.51674727,
1103840000,-1.957292214,18.82998488,-67.32010064,-151.413594,-61.45630793,169.1598297,-12.12348373,26.12963027,
1103960000,-1.947215028,18.7195812,-62.78575229,171.3149713,-57.07209735,88.08017505,-12.16106149,25.9983819,
1104080000,-1.946274333,18.72211957,-76.99463505,22.12149134,-58.97389961,-150.7435035,-12.14043444,26.00754632,
1104200000,-1.955929292,18.79534689,-71.09007483,104.917826,-57.12555422,-59.63249368,-12.1292513,25.6244522,
1104320000,-1.940220787,18.85128208,-67.69972414,-25.32213811,-61.74175821,172.2104618,-12.13998897,25.34840781,
1104440000,-1.927041765,18.73967382,-58.15182639,-45.55980859,-71.84631496,-99.7469668,-12.10823311,25.18958718,
1104560000,-1.931067789,18.72618382,-68.18412271,-156.3762161,-63.8062445,128.8478975,-12.13033164,25.22827341,
1104680000,-1.937966392,18.65431344,-59.38233741,165.2296027,-56.8674472,-3.114669754,-12.11058696,24.8523043,
1104800000,-1.946419601,18.57897606,-57.08439313,121.5750144,-89.84281716,-152.4201819,-12.11408401,24.43027117,
1104920000,-1.965472183,18.65773447,-74.31702733,178.4520819,-63.92013913,165.1621021,-12.13091846,24.63673222,
1105040000,-1.964796786,18.62138781,-66.41536124,131.8544407,-58.36349084,29.72428363,-12.10254495,24.29448759,
1105160000,-1.956853008,18.75171873,-63.37222196,-94.11157127,-65.75731003,68.51333501,-12.11824188,23.76124916,
1105280000,-1.943830274,18.65432275,-61.20542729,6.926854578,-56.38365819,143.7714614,-12.08897025,23.50351062,
1105400000,-1.959296032,18.58917807,-60.00950478,154.0258502,-66.25892563,73.40160022,-12.11645575,23.45722728,
1105520000,-1.944717207,18.53295699,-62.73071019,28.90300109,-81.09679002,27.66542612,-12.1135272,23.38707071,
1105640000,-1.949500717,18.59978042,-66.30765689,96.58271329,-70.52291385,165.0033302,-12.0953108,23.15376756,
1105760000,-1.934807869,18.49797077,-64.96251338,177.6122262,-65.73371564,120.2577687,-12.09960293,22.70612995,
1105880000,-1.935970427,18.52680609,-63.38032783,122.5626463,-55.05743314,-11.63947295,-12.05711324,22.57173077,
1106000000,-1.932456533,18.56920229,-60.44594491,-12.14947081,-69.8697924,36.85172512,-12.06656761,22.69683588,
1106120000,-1.948289842,18.33674799,-61.49504529,-57.51996996,-67.05069328,-68.23426414,-12.11531463,22.2083354,
1106240000,-1.958270414,18.3376511,-62.41660401,103.9504941,-58.91900044,-161.833586,-12.10199711,22.07385826,
1106360000,-1.963901536,18.35344995,-61.86952539,-100.991146,-57.60159279,-136.700184,-12.08576758,21.6927084,
1106480000,-1.957045263,18.36246995,-67.78050192,-43.6118244,-55.49567874,12.59757201,-12.09502242,21.90107966,
1106600000,-1.94118455,18.33237722,-69.08421601,-53.7612462,-59.1976077,-53.88241137,-12.07250241,21.25048932,
1106720000,-1.945189594,18.30438733,-67.52602943,-30.01880094,-60.781508,6.809507656,-12.05386468,21.36652019,
1106840000,-1.954453253,18.30048672,-60.99558172,-140.6678204,-57.11571327,-172.0351553,-12.08607337,20.90415967,
1106960000,-1.95661411,18.26190964,-69.27249433,-127.6016187,-78.35080859,8.449034797,-12.03211637,20.87005566,
1107080000,-1.954490586,18.27932369,-67.56362685,-24.4237119,-66.06738158,11.78001788,-12.07841056,20.70316763,
